UID|User|AllocTRES|AveDiskRead|AveDiskWrite|CPUTimeRAW|TotalCPU|ElapsedRaw|State|Partition|
1195310|yebeen|billing=21,cpu=1,mem=100G,node=1|||814225|9-09:14:31|814225|TIMEOUT|compute|
||cpu=1,mem=100G,node=1|138.76M|13.55M|814226|9-09:14:31|814226|CANCELLED||
||billing=21,cpu=1,mem=100G,node=1|0.00M|0.00M|814225|00:00.001|814225|COMPLETED||
1195310|yebeen|billing=21,cpu=1,mem=100G,node=1|||814206|9-09:05:52|814206|TIMEOUT|compute|
||cpu=1,mem=100G,node=1|146.91M|16.85M|814208|9-09:05:52|814208|CANCELLED||
||billing=21,cpu=1,mem=100G,node=1|0.00M|0.00M|814207|00:00.001|814207|COMPLETED||
841398|zheng94|billing=97,cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=32G,node=1|||143855|1-15:47:15|143855|COMPLETED|gpu-2080ti|
||cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=32G,node=1|7270.24M|10915.45M|143855|1-15:47:15|143855|COMPLETED||
||billing=97,cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=32G,node=1|0.00M|0.00M|143855|00:00:00|143855|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||26392480|185-04:53:13|659812|CANCELLED by 1106886|compute-hugemem|
||cpu=40,mem=728G,node=1|9102791.58M|2883449.07M|26392520|185-04:53:13|659813|CANCELLED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|26392480|00:00.002|659812|COMPLETED||
603833|rolanf2|billing=188,cpu=40,mem=740G,node=1|||19194960|5-13:03:57|479874|COMPLETED|compute-hugemem|
||cpu=40,mem=740G,node=1|21.12M|0.20M|19194960|5-13:03:57|479874|COMPLETED||
||billing=188,cpu=40,mem=740G,node=1|0.00M|0.00M|19194960|00:00.002|479874|COMPLETED||
603833|rolanf2|billing=74,cpu=40,mem=170G,node=1|||3595920|1-00:55:19|89898|CANCELLED by 603833|compute|
||cpu=40,mem=170G,node=1|21.12M|0.04M|3595960|1-00:55:19|89899|CANCELLED||
||billing=74,cpu=40,mem=170G,node=1|0.00M|0.00M|3595920|00:00.002|89898|COMPLETED||
1016964|jingyli6|billing=111,cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=100G,node=1|||57618|13:12:43|57618|TIMEOUT|gpu-2080ti|
||billing=111,cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=100G,node=1|0.00M|0.00M|57618|00:00:00|57618|COMPLETED||
||cpu=1,gres/gpu:2080ti=2,gres/gpu=2,mem=100G,node=1|7671.96M|638906.95M|57632|13:12:43|57632|CANCELLED||
603833|rolanf2|billing=74,cpu=40,mem=170G,node=1|||3595280|1-00:55:37|89882|CANCELLED by 603833|compute|
||cpu=40,mem=170G,node=1|21.12M|0.04M|3595320|1-00:55:37|89883|CANCELLED||
||billing=74,cpu=40,mem=170G,node=1|0.00M|0.00M|3595280|00:00.002|89882|COMPLETED||
603833|rolanf2|billing=74,cpu=40,mem=170G,node=1|||3576600|1-00:47:40|89415|CANCELLED by 603833|compute|
||cpu=40,mem=170G,node=1|21.12M|0.04M|3576640|1-00:47:40|89416|CANCELLED||
||billing=74,cpu=40,mem=170G,node=1|0.00M|0.00M|3576600|00:00.002|89415|COMPLETED||
1106886|willll|billing=185,cpu=40,mem=728G,node=1|||2931800|31-19:02:41|73295|COMPLETED|compute-hugemem|
||cpu=40,mem=728G,node=1|1228534.52M|258444.87M|2931800|31-19:02:41|73295|COMPLETED||
||billing=185,cpu=40,mem=728G,node=1|0.00M|0.00M|2931800|00:00.002|73295|COMPLETED||
1100198|yijunt|billing=192,cpu=120,mem=360G,node=3|||4474320|51-08:32:06|37286|COMPLETED|compute|
||cpu=40,mem=120G,node=1|3.86M|0.97M|1491440|00:00.748|37286|COMPLETED||
||billing=192,cpu=120,mem=360G,node=3|0.00M|0.00M|4474320|00:00.006|37286|COMPLETED||
||cpu=120,mem=360G,node=3|88.06M|3184.98M|4474080|51-08:32:05|37284|COMPLETED||
1049596|jaalto|billing=262,cpu=160,mem=512G,node=4|||18072320|463-08:40:15|112952|COMPLETED|compute|
||cpu=40,mem=128G,node=1|3694275.94M|1682983.62M|4518080|33-09:22:39|112952|COMPLETED||
